license_number,license_number_score
UNABLETODETECT,-1
UNABLETODETECT,-1
UNABLETODETECT,-1
MH20EJ0364,0.47743653052858676
MH20EJ0364,0.3009984483132336
10,0.6399700205359807
MH20EJ0364,0.3776335439341259
LNROLIUMA,0.013053697712886335
MH?EJ0364,0.3339056638713664
MH20E.J0364,0.39929226283348523
MH20EJ0364,0.5502611111895215
LM?0EJ0%64,0.10570368159702989
MH20EJ0364,0.9274894906729138
HH20EJ0364,0.7812920635855555
AH20EJ0364,0.6800652400261593
IH20EJ0364,0.7436010400160372
IH20EJ,0364,0.5363913930143176
H2QEJ0364,0.706841499804472
20EJ0364,0.720512191118726
42QEJ0364,0.6049177739861566
MH20,0.6830464926915315
MH20EJ0364,0.6417292115559216
MH,0.8861450983703889
IH,0.4840431800626619
MH20EJ0364,0.8709091741219069
H20EJ0364,0.49411601170003755
MH20EJ0364,0.9219041097735304
IH20EJ0364,0.8576609904305077
MH20EJ0364,0.8298402222163918
020EJ036-,0.1545912674919934
MH20EJ0364,0.8334787334805112
MH20EJ0364,0.9465968331037573
MH20EJ0364,0.8488458649150075
MH20EJ0364,0.9439381887388342
MH20EJ0364,0.8483507805722895
MH20EJ0364,0.9009640167893752
MH20EJ0364,0.42624936050635553
MH20EJ0364,0.6111359705588895
MH20EJ03641,0.8039299705850135
MH20EJ0364,0.6380032884629965
MH20EJ0364,0.8336898780479318
MH20EJ0364,0.6918895314771847
69E0(}(/,0.12473254544669378
+90(1U/HM,0.05476686061263107
MU,0.09854850145390412
MMPME|0864,0.06972215308708439
MH20E.J0364,0.28093077416463835
MH20EJ0364,0.890170715990757
MH20E.10364,0.27615981767821207
MH20EJ0364,0.5157306146937449
MH20EJ0364,0.9499287774257397
MH20EJ0364,0.9678052263895565
MH20EJ0364,0.8393921917563663
MH20EJ0364,0.5661797273976555
MH20EJ0364,0.6118861804712723
MH20EJ0364,0.5258515734343105
4K2OEJ036=,0.16098160088167993
MH20EJ0364,0.8164881831054042
UNABLETODETECT,-1
UNABLETODETECT,-1
WICUIIUGHW,0.017267084833920348
79807102HH,0.09269585202187705
#9E0[308HW,0.19691867637943175
T0[302HA,0.07980341509505658
79C0RJ0ZHM,0.06979194038051278
79CURJ0GHA,0.03300805325232996
7980[302HH,0.14902046420738435
T9E0RJ02HR,0.11262429426873025
#980[308HR,0.18085646255873702
TEEORJOEHA,0.0261559730205658
#9E0(J08HN,0.043663071238560974
79CORJOCHA,0.07376756652009456
#980RJ0HW,0.16700975477964597
UNABLETODETECT,-1
9E0[J08HW,0.15252530047029106
79C0[J0HA,0.3178834464798579
+9E0[30ZHR,0.07265691720414921
7980R108HW,0.16665805737630435
7,0.5051294459704536
79C0[3OZHM,0.11342577548797243
UNABLETODETECT,-1
MH20EJ0364,0.21609034134373503
MM?0F|0%64,0.06780056479278869
MH20E!0.36.4,0.15386807995804364
MH20E|0364,0.23266544346336662
MH20E.|0364,0.27156493823468036
MH20E80364,0.23323324734282375
MH20E/0364,0.42349119149991854
MH20E.40364,0.306694871905274
MH20E.J0364,0.4081016262779875
MH20EJ0364,0.8034973341489537
MH20EJ0364,0.6576749319752468
MH20EJ0364,0.3811479126719591
MH20E.J03641,0.2606930060732614
MI#U,0.1284249722957611
HH20EJ0364,0.5586777225267852
MH20E./0364,0.235610780437899
WHPUEI0JG4,0.1166743022507326
7H20EJ0364,0.1523631189669958
MHZOEJ0364,0.6120687599248377
MH20EJ0364,0.592375329243416
